countryGroup,amount,quantity,unitName,commodityCode,chapterName,chCode,countryName,commodityName
America,254679.74,375,Kg.,34011100,"Soap, organic surface active agents, waxing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",34,U.S.A.,Toilet soap
America,933810.1,3951,Kg.,49111000,"Printed books, newspapers, pictures and other products of the printing industry: manuscripts, typescripts and plans",49,U.S.A.,"Trade advertising material, commercial catalogues"
America,100187.57,251,Kg.,53021000,Other vegetable textile fibres: paper yarn and woven fabrics of paper yarn,53,U.S.A.,"True hemp, raw or retted"
America,210937860.36,686875,Kg.,19021900,"Preparation of cereals, flour, starch or milk: pastrycooks` products",19,U.S.A.,"Uncooked pasta, not stuffed or otherwise prepared"
America,126785.9,112,Kg.,49070090,"Printed books, newspapers, pictures and other products of the printing industry: manuscripts, typescripts and plans",49,U.S.A.,"Unused postage, stamp-impressed paper;  ban  note, stock, share, cheque forms,"
America,6203415.85,10686,Kg.,63101000,Other made up textile articles: sets: worn clothing and worn textile articles: rags,63,U.S.A.,"Used or new rags, scrap twine, cordage, sorted"
America,5256717.27,6870,Kg.,14019000,Vegetable plaiting materials: vegetable products not elsewhere specified or included,14,U.S.A.,"Vegetable materials of a kind used primarily for plaiting (for example rattans, reeds, rushes, osier, affia, cleaned, bleached or dyed cereal straw, and lime bark)."
America,166923.84,489,Kg.,48061000,"Paper and paperboard: articles of paper pulp, of paper or of paperboard",48,U.S.A.,Vegetable parchment
America,241219.27,1836,Kg.,14049090,Vegetable plaiting materials: vegetable products not elsewhere specified or included,14,U.S.A.,Vegetable products
America,33303.66,48,Kg.,07099900,Edible vegetables and certain roots and tubers,07,U.S.A.,"Vegetables, fresh or chilled"
America,5487984.06,9539,Kg.,20019000,"Preparation of vegetables, fruits, nuts or other parts of plants",20,U.S.A.,"Vegetables, fruits nuts and edible parts of plants, prepared or preserved by vinegar or acetic acid"
America,208240.07,132,Kg.,34029000,"Soap, organic surface active agents, waxing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",34,U.S.A.,Washing preparations and cleaning preparations
America,123778097.21,1178138,Kg.,11010000,Products of milling industry: malt: starches: inulin: wheat gluten,11,U.S.A.,Wheat flour
America,19074.0,7,Kg.,41015000,Raw hides and skins ( other than furskins ) and leather,41,U.S.A.,"Whole hides and skins, of a weight exceeding 16 kg"
